순번,업종명,업소명,도로명주소,지번주소,행정동명,전화번호
5306,일반음식점,달봄참치,"대전광역시 서구 관저북로13번길 14, 관저프라자 1층 102호 (관저동)",대전광역시 서구 관저동 1769 관저프라자 ,관저1동,
5307,일반음식점,밥사랑,"대전광역시 서구 둔산로31번길 52, 덕삼빌딩 2층 일부호 (둔산동)",대전광역시 서구 둔산동 1005 덕삼빌딩 ,둔산2동,
5308,일반음식점,진미직화꾸이&족발,"대전광역시 서구 도마15길 27, 1층 일부호 (도마동)",대전광역시 서구 도마동 71-68 ,도마1동,
5309,일반음식점,성심갈비 도안점,"대전광역시 서구 원도안로 258, 1층 (도안동)",대전광역시 서구 도안동 1054 ,도안동,
5310,일반음식점,소바카츠 법원점,"대전광역시 서구 둔산로123번길 28, 브라운빌딩 1층 일부호 (둔산동)",대전광역시 서구 둔산동 1474 브라운빌딩 ,둔산1동, 042- 825-7810
5311,일반음식점,더꼬치다,"대전광역시 서구 대덕대로 211, 갤러리아타임월드백화점 지하2층 일부호 (둔산동)",대전광역시 서구 둔산동 1036 갤러리아타임월드백화점 ,둔산2동,
5312,일반음식점,바이민타이,"대전광역시 서구 도안동로11번길 25, 럭키프라자 1층 115(일부)호 (도안동)",대전광역시 서구 도안동 1771 럭키프라자 ,도안동,
5313,일반음식점,뚱보맥주,"대전광역시 서구 도안중로311번길 35, 1층 (도안동)",대전광역시 서구 도안동 1439 ,도안동,
5314,일반음식점,비노우스(VINOUS),"대전광역시 서구 계룡로 586, 1층 101호 (괴정동)",대전광역시 서구 괴정동 5-9 ,괴정동,
5315,일반음식점,인생왕닭꼬치염통전문점,"대전광역시 서구 둔산로31번길 61, 지하1층 일부호 (둔산동)",대전광역시 서구 둔산동 997 ,둔산2동,
5316,일반음식점,대영식당,"대전광역시 서구 둔산북로 121, 아너스빌오피스텔 지하1층 144,145호 (둔산동)",대전광역시 서구 둔산동 1380-1 아너스빌오피스텔 ,둔산1동,
5317,일반음식점,쪽갈비야 사랑한닭(갈마점),"대전광역시 서구 갈마로125번길 27, 1층 일부호 (갈마동)",대전광역시 서구 갈마동 403-9 ,갈마2동,
5318,일반음식점,라멘의 품격(갈마점),"대전광역시 서구 갈마로125번길 27, 1층 일부호 (갈마동)",대전광역시 서구 갈마동 403-9 ,갈마2동,
5319,일반음식점,팽닭 대전본점,"대전광역시 서구 괴정로76번길 42, 1층 일부호 (괴정동)",대전광역시 서구 괴정동 69-24 ,괴정동,
5320,일반음식점,커피스미스 대전둔산점,"대전광역시 서구 둔산로 25, 1층 일부호 (둔산동)",대전광역시 서구 둔산동 984 ,둔산2동,
5321,일반음식점,7곡제면소,"대전광역시 서구 도산로 374, 1층 (용문동)",대전광역시 서구 용문동 258-3 ,용문동,
5322,일반음식점,타코갱,"대전광역시 서구 갈마역로25번길 9-18, 1층 일부호 (갈마동)",대전광역시 서구 갈마동 850 ,갈마1동,
5323,일반음식점,소림마라 대전목원점,"대전광역시 서구 도안북로 97, 1층 104,105호 (도안동)",대전광역시 서구 도안동 876 ,도안동,
5324,일반음식점,게판 오분전,"대전광역시 서구 신갈마로 128-9, 1층 일부호 (갈마동)",대전광역시 서구 갈마동 379-9 ,갈마2동,
5325,일반음식점,소소한 한우,"대전광역시 서구 구봉산북로15번길 32, 1층 일부호 (관저동)",대전광역시 서구 관저동 1948-11 ,관저2동,
5326,일반음식점,본메르시,"대전광역시 서구 도안북로118번길 64, 1층 (도안동)",대전광역시 서구 도안동 943 ,도안동, 042- 823-5848
5327,일반음식점,주간 음주기지,"대전광역시 서구 갈마중로38번길 16, 1층 일부호 (갈마동)",대전광역시 서구 갈마동 347-21 ,갈마2동,
5328,일반음식점,찜의정석 돼지김치찜,"대전광역시 서구 도솔로305번길 36-1, 1층 일부호 (괴정동)",대전광역시 서구 괴정동 73-8 ,괴정동,
5329,일반음식점,투데이,"대전광역시 서구 갈마로 295, 1층 일부호 (가장동)",대전광역시 서구 가장동 42-8 ,가장동,
5330,일반음식점,썸 some,"대전광역시 서구 용문로 35-5, 3층 (괴정동)",대전광역시 서구 괴정동 424-31 ,괴정동,
5331,일반음식점,꿈,"대전광역시 서구 도산로 156, 지하1층 일부호 (도마동)",대전광역시 서구 도마동 70-8 ,도마1동,
5332,일반음식점,육첩반상,"대전광역시 서구 둔산중로134번길 29, 1층 109호 (둔산동)",대전광역시 서구 둔산동 924 ,둔산2동,
5333,일반음식점,명동 닭한마리,"대전광역시 서구 둔산로51번길 66, 1층 107, 107-1호 (둔산동)",대전광역시 서구 둔산동 1353 ,둔산2동, 042- 482-5989
5334,일반음식점,인트로,"대전광역시 서구 월평중로13번길 36, 1층 일부호 (월평동)",대전광역시 서구 월평동 923 ,월평1동,
5335,일반음식점,(주)코지누크에프엔씨,"대전광역시 서구 구봉산북로21번길 54-14, 2층 일부호 (관저동)",대전광역시 서구 관저동 1955-2 ,관저2동, 042- 543-0847
5336,일반음식점,을찌로가맥 월평점,"대전광역시 서구 월평중로 5-1, 1층 (월평동)",대전광역시 서구 월평동 869 ,월평1동,
5337,일반음식점,파스탄PASTAN,"대전광역시 서구 도산로431번길 52, 1층 (탄방동)",대전광역시 서구 탄방동 69-1 ,탄방동,
5338,일반음식점,신미가짬뽕 둔산점,"대전광역시 서구 둔산남로 98-14, 2층 (탄방동)",대전광역시 서구 탄방동 717 ,탄방동,
5339,일반음식점,기장꼼장어,"대전광역시 서구 관저남로25번길 8-14, 1층 일부호 (관저동)",대전광역시 서구 관저동 1564-4 ,관저2동,042 -541 -1970
5340,일반음식점,듀빈커피,"대전광역시 서구 둔산로 30, 1층 일부호 (둔산동)",대전광역시 서구 둔산동 1056 ,둔산2동,
